"Index", "Eruption length (mins)","Eruption wait (mins)"
5, 4.533, 85
7, 4.7, 88
15, 4.7, 83
18, 4.8, 84
25, 4.533, 74
38, 4.833, 80
40, 4.783, 90
43, 4.567, 84
45, 4.533, 73
49, 4.633, 82
51, 4.8, 75
52, 4.716, 90
54, 4.833, 80
56, 4.883, 83
59, 4.567, 77
64, 4.8, 82
68, 4.7, 78
70, 4.7, 73
76, 5.067, 76
78, 4.567, 78
86, 4.933, 88
88, 4.517, 80
94, 4.817, 78
97, 4.667, 84
100, 4.9, 82
107, 4.7, 84
109, 4.85, 86
111, 4.733, 75
113, 4.9, 89
116, 4.633, 81
118, 4.6, 85
125, 4.6, 88
130, 4.65, 90
138, 4.933, 86
143, 4.533, 82
144, 4.817, 77
147, 4.633, 80
149, 5.1, 96
151, 5.033, 77
154, 4.6, 81
166, 4.583, 76
168, 5.0, 88
170, 4.617, 93
173, 4.583, 77
182, 4.583, 77
191, 4.8, 81
193, 4.8, 76
200, 4.667, 78
205, 4.6, 78
212, 4.7, 80
218, 4.8, 94
230, 4.55, 79
243, 4.933, 86
245, 4.583, 85
261, 4.767, 78
262, 4.533, 84
267, 4.75, 75
