"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","ENRG","AGRWTH","A","1972",4.91007,
"AUS","CPI","ENRG","AGRWTH","A","1973",3.762801,
"AUS","CPI","ENRG","AGRWTH","A","1974",13.17354,
"AUS","CPI","ENRG","AGRWTH","A","1975",19.42247,
"AUS","CPI","ENRG","AGRWTH","A","1976",8.833195,
"AUS","CPI","ENRG","AGRWTH","A","1977",7.256738,
"AUS","CPI","ENRG","AGRWTH","A","1978",10.7472,
"AUS","CPI","ENRG","AGRWTH","A","1979",27.23942,
"AUS","CPI","ENRG","AGRWTH","A","1980",19.4961,
"AUS","CPI","ENRG","AGRWTH","A","1981",15.59402,
"AUS","CPI","ENRG","AGRWTH","A","1982",13.02029,
"AUS","CPI","ENRG","AGRWTH","A","1983",12.85172,
"AUS","CPI","ENRG","AGRWTH","A","1984",7.439461,
"AUS","CPI","ENRG","AGRWTH","A","1985",9.435687,
"AUS","CPI","ENRG","AGRWTH","A","1986",1.109787,
"AUS","CPI","ENRG","AGRWTH","A","1987",5.612381,
"AUS","CPI","ENRG","AGRWTH","A","1988",-0.01473915,
"AUS","CPI","ENRG","AGRWTH","A","1989",4.296725,
"AUS","CPI","ENRG","AGRWTH","A","1990",16.06711,
"AUS","CPI","ENRG","AGRWTH","A","1991",0.4380601,
"AUS","CPI","ENRG","AGRWTH","A","1992",2.618369,
"AUS","CPI","ENRG","AGRWTH","A","1993",1.020584,
"AUS","CPI","ENRG","AGRWTH","A","1994",0.2203486,
"AUS","CPI","ENRG","AGRWTH","A","1995",3.26599,
"AUS","CPI","ENRG","AGRWTH","A","1996",1.12442,
"AUS","CPI","ENRG","AGRWTH","A","1997",1.774115,
"AUS","CPI","ENRG","AGRWTH","A","1998",-3.79814,
"AUS","CPI","ENRG","AGRWTH","A","1999",1.932777,
"AUS","CPI","ENRG","AGRWTH","A","2000",16.80462,
"AUS","CPI","ENRG","AGRWTH","A","2001",2.465995,
"AUS","CPI","ENRG","AGRWTH","A","2002",0.9137612,
"AUS","CPI","ENRG","AGRWTH","A","2003",5.081695,
"AUS","CPI","ENRG","AGRWTH","A","2004",6.346609,
"AUS","CPI","ENRG","AGRWTH","A","2005",9.798734,
"AUS","CPI","ENRG","AGRWTH","A","2006",9.250135,
"AUS","CPI","ENRG","AGRWTH","A","2007",1.58193,
"AUS","CPI","ENRG","AGRWTH","A","2008",12.51061,
"AUS","CPI","ENRG","AGRWTH","A","2009",-6.307878,
"AUS","CPI","ENRG","AGRWTH","A","2010",8.421489,
"AUS","CPI","ENRG","AGRWTH","A","2011",10.93911,
"AUS","CPI","ENRG","AGRWTH","A","2012",7.426358,
"AUS","CPI","ENRG","AGRWTH","A","2013",6.413658,
"AUS","CPI","ENRG","AGRWTH","A","2014",1.190338,
"AUS","CPI","ENRG","AGRWTH","A","2015",-7.186137,
"AUS","CPI","ENRG","AGRWTH","A","2016",-3.173628,
"AUS","CPI","ENRG","AGRWTH","A","2017",9.450979,
"AUS","CPI","ENRG","AGRWTH","A","2018",11.72583,
"AUS","CPI","ENRG","AGRWTH","A","2019",7.668816,
"AUS","CPI","ENRG","AGRWTH","A","2020",-2.10481,
"AUS","CPI","ENRG","AGRWTH","A","2021",10.93195,
"AUS","CPI","ENRG","AGRWTH","A","2022",15.30013,
"AUS","CPI","FOOD","AGRWTH","A","1956",7.315458,
"AUS","CPI","FOOD","AGRWTH","A","1957",-1.449722,
"AUS","CPI","FOOD","AGRWTH","A","1958",0.8763693,
"AUS","CPI","FOOD","AGRWTH","A","1959",2.978591,
"AUS","CPI","FOOD","AGRWTH","A","1960",5.483579,
"AUS","CPI","FOOD","AGRWTH","A","1961",3.199086,
"AUS","CPI","FOOD","AGRWTH","A","1962",-2.823139,
"AUS","CPI","FOOD","AGRWTH","A","1963",0.2563372,
"AUS","CPI","FOOD","AGRWTH","A","1964",3.806818,
"AUS","CPI","FOOD","AGRWTH","A","1965",5.91133,
"AUS","CPI","FOOD","AGRWTH","A","1966",1.989664,
"AUS","CPI","FOOD","AGRWTH","A","1967",4.028376,
"AUS","CPI","FOOD","AGRWTH","A","1968",2.532879,
"AUS","CPI","FOOD","AGRWTH","A","1969",1.187648,
"AUS","CPI","FOOD","AGRWTH","A","1970",3.620028,
"AUS","CPI","FOOD","AGRWTH","A","1971",3.9,
"AUS","CPI","FOOD","AGRWTH","A","1972",3.907289,
"AUS","CPI","FOOD","AGRWTH","A","1973",15.35854,
"AUS","CPI","FOOD","AGRWTH","A","1974",15.13158,
"AUS","CPI","FOOD","AGRWTH","A","1975",7.428571,
"AUS","CPI","FOOD","AGRWTH","A","1976",11.72493,
"AUS","CPI","FOOD","AGRWTH","A","1977",10.59539,
"AUS","CPI","FOOD","AGRWTH","A","1978",10.4799,
"AUS","CPI","FOOD","AGRWTH","A","1979",14.828,
"AUS","CPI","FOOD","AGRWTH","A","1980",12.93375,
"AUS","CPI","FOOD","AGRWTH","A","1981",9.401827,
"AUS","CPI","FOOD","AGRWTH","A","1982",6.330191,
"AUS","CPI","FOOD","AGRWTH","A","1983",10.6089,
"AUS","CPI","FOOD","AGRWTH","A","1984",4.503366,
"AUS","CPI","FOOD","AGRWTH","A","1985",5.390636,
"AUS","CPI","FOOD","AGRWTH","A","1986",8.803946,
"AUS","CPI","FOOD","AGRWTH","A","1987",4.529447,
"AUS","CPI","FOOD","AGRWTH","A","1988",8.358809,
"AUS","CPI","FOOD","AGRWTH","A","1989",9.325144,
"AUS","CPI","FOOD","AGRWTH","A","1990",3.119903,
"AUS","CPI","FOOD","AGRWTH","A","1991",2.528369,
"AUS","CPI","FOOD","AGRWTH","A","1992",0.5762925,
"AUS","CPI","FOOD","AGRWTH","A","1993",2.433704,
"AUS","CPI","FOOD","AGRWTH","A","1994",2.364403,
"AUS","CPI","FOOD","AGRWTH","A","1995",5.140973,
"AUS","CPI","FOOD","AGRWTH","A","1996",2.915198,
"AUS","CPI","FOOD","AGRWTH","A","1997",2.828677,
"AUS","CPI","FOOD","AGRWTH","A","1998",3.059577,
"AUS","CPI","FOOD","AGRWTH","A","1999",3.518542,
"AUS","CPI","FOOD","AGRWTH","A","2000",0.2729906,
"AUS","CPI","FOOD","AGRWTH","A","2001",6.280433,
"AUS","CPI","FOOD","AGRWTH","A","2002",3.750994,
"AUS","CPI","FOOD","AGRWTH","A","2003",3.705396,
"AUS","CPI","FOOD","AGRWTH","A","2004",1.922286,
"AUS","CPI","FOOD","AGRWTH","A","2005",1.905833,
"AUS","CPI","FOOD","AGRWTH","A","2006",9.852309,
"AUS","CPI","FOOD","AGRWTH","A","2007",1.656439,
"AUS","CPI","FOOD","AGRWTH","A","2008",4.251823,
"AUS","CPI","FOOD","AGRWTH","A","2009",3.352177,
"AUS","CPI","FOOD","AGRWTH","A","2010",1.139162,
"AUS","CPI","FOOD","AGRWTH","A","2011",5.734226,
"AUS","CPI","FOOD","AGRWTH","A","2012",-3.697105,
"AUS","CPI","FOOD","AGRWTH","A","2013",0.2200269,
"AUS","CPI","FOOD","AGRWTH","A","2014",2.63969,
"AUS","CPI","FOOD","AGRWTH","A","2015",0.5746248,
"AUS","CPI","FOOD","AGRWTH","A","2016",0.240722,
"AUS","CPI","FOOD","AGRWTH","A","2017",0.07114173,
"AUS","CPI","FOOD","AGRWTH","A","2018",0.6703755,
"AUS","CPI","FOOD","AGRWTH","A","2019",4.482894,
"AUS","CPI","FOOD","AGRWTH","A","2020",9.320118,
"AUS","CPI","FOOD","AGRWTH","A","2021",7.909739,
"AUS","CPI","FOOD","AGRWTH","A","2022",8.1667,
"AUS","CPI","TOT","AGRWTH","A","1950",8.695652,
"AUS","CPI","TOT","AGRWTH","A","1951",19.42857,
"AUS","CPI","TOT","AGRWTH","A","1952",17.22488,
"AUS","CPI","TOT","AGRWTH","A","1953",4.489796,
"AUS","CPI","TOT","AGRWTH","A","1954",1.5625,
"AUS","CPI","TOT","AGRWTH","A","1955",1.538462,
"AUS","CPI","TOT","AGRWTH","A","1956",5.681818,
"AUS","CPI","TOT","AGRWTH","A","1957",2.867383,
"AUS","CPI","TOT","AGRWTH","A","1958",0.6968641,
"AUS","CPI","TOT","AGRWTH","A","1959",2.076125,
"AUS","CPI","TOT","AGRWTH","A","1960",3.728814,
"AUS","CPI","TOT","AGRWTH","A","1961",2.287582,
"AUS","CPI","TOT","AGRWTH","A","1962",-0.3194888,
"AUS","CPI","TOT","AGRWTH","A","1963",0.6410257,
"AUS","CPI","TOT","AGRWTH","A","1964",2.866242,
"AUS","CPI","TOT","AGRWTH","A","1965",3.405573,
"AUS","CPI","TOT","AGRWTH","A","1966",3.293413,
"AUS","CPI","TOT","AGRWTH","A","1967",3.478261,
"AUS","CPI","TOT","AGRWTH","A","1968",2.521008,
"AUS","CPI","TOT","AGRWTH","A","1969",3.278688,
"AUS","CPI","TOT","AGRWTH","A","1970",3.439153,
"AUS","CPI","TOT","AGRWTH","A","1971",6.138107,
"AUS","CPI","TOT","AGRWTH","A","1972",6.024096,
