Datum,Tid,Falsterbo,Froson
2018-01-01,12:00:00,6.7,-0.7
2018-01-02,12:00:00,5.7,-2.1
2018-01-03,12:00:00,5.0,-14.9
2018-01-04,12:00:00,4.5,-7.1
2018-01-05,12:00:00,3.8,-6.9
2018-01-06,12:00:00,2.6,-9.0
2018-01-07,12:00:00,0.8,-3.1
2018-01-08,12:00:00,2.5,-0.7
2018-01-09,12:00:00,4.2,-7.6
2018-01-10,12:00:00,4.1,-18.4
2018-01-11,12:00:00,4.0,-20.3
2018-01-12,12:00:00,2.4,-14.0
2018-01-13,12:00:00,1.8,-16.9
2018-01-14,12:00:00,0.0,-6.4
2018-01-15,12:00:00,1.1,-6.2
2018-01-16,12:00:00,4.4,-2.5
2018-01-17,12:00:00,2.9,-5.0
2018-01-18,12:00:00,2.8,-9.7
2018-01-19,12:00:00,2.4,-9.2
2018-01-20,12:00:00,2.8,-4.2
2018-01-21,12:00:00,1.5,-15.1
2018-01-22,12:00:00,1.6,-12.0
2018-01-23,12:00:00,1.7,-8.0
2018-01-24,12:00:00,6.8,-0.5
2018-01-25,12:00:00,5.8,2.0
2018-01-26,12:00:00,3.0,-2.2
2018-01-27,12:00:00,5.0,-3.1
2018-01-28,12:00:00,6.8,-2.4
2018-01-29,12:00:00,7.5,-3.6
2018-01-30,12:00:00,5.6,-5.1
2018-01-31,12:00:00,4.0,-5.7
2018-02-01,12:00:00,3.8,-6.4
2018-02-02,12:00:00,3.6,-13.6
2018-02-03,12:00:00,-2.1,-12.4
2018-02-04,12:00:00,0.6,-17.7
2018-02-05,12:00:00,-1.1,-11.9
2018-02-06,12:00:00,-1.9,-9.6
2018-02-07,12:00:00,0.7,-15.8
2018-02-08,12:00:00,2.2,-8.4
2018-02-09,12:00:00,0.5,-0.1
2018-02-10,12:00:00,1.1,-3.3
2018-02-11,12:00:00,1.9,-4.1
2018-02-12,12:00:00,3.4,-4.0
2018-02-13,12:00:00,1.8,-4.6
2018-02-14,12:00:00,4.2,-0.4
2018-02-15,12:00:00,1.4,-3.0
2018-02-16,12:00:00,4.2,-2.5
2018-02-17,12:00:00,3.4,-4.3
2018-02-18,12:00:00,4.0,-3.9
2018-02-19,12:00:00,3.2,-5.4
2018-02-20,12:00:00,3.2,-7.9
2018-02-21,12:00:00,0.4,-9.5
2018-02-22,12:00:00,1.7,-7.1
2018-02-23,12:00:00,0.9,-9.7
2018-02-24,12:00:00,-0.3,-9.7
2018-02-25,12:00:00,-1.5,-14.0
2018-02-26,12:00:00,-1.2,-16.7
2018-02-27,12:00:00,-3.3,-13.1
2018-02-28,12:00:00,-6.8,-18.5
2018-03-01,12:00:00,-4.4,-18.4
2018-03-02,12:00:00,-2.9,-16.6
2018-03-03,12:00:00,-1.0,-10.4
2018-03-04,12:00:00,-1.8,-6.3
2018-03-05,12:00:00,-0.8,-8.8
2018-03-06,12:00:00,2.8,-6.6
2018-03-07,12:00:00,2.4,-4.8
2018-03-08,12:00:00,0.6,-5.5
2018-03-09,12:00:00,0.6,-8.4
2018-03-10,12:00:00,1.1,-8.3
2018-03-11,12:00:00,2.8,-5.8
2018-03-12,12:00:00,6.0,-3.6
2018-03-13,12:00:00,2.5,-3.8
2018-03-14,12:00:00,1.8,-5.3
2018-03-15,12:00:00,1.3,-8.4
2018-03-16,12:00:00,-1.2,-10.1
